rodzina,accuracy_srednia,accuracy_max,balanced_accuracy_srednia,balanced_accuracy_max
DecisionTree,0.5742102709466533,0.5940473454378303,0.2835991721330307,0.3053020386828614
RandomForest,0.6591051865471539,0.6719413161725274,0.33973287265856045,0.35304560085053993
kNN,0.588228759672106,0.6386769325059373,0.28891640974840677,0.34214634417355116
